,Fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,Y
LTP Control_1_1,2014-05-29,-1.377420999727574,-1.2095034282123853,-1.208196759833409,-1.1895704149441835,-1.1329031276127282,-1.0956527064707122,-1.043348537609434,-0.9301987671672555,-0.8189475424489546,-0.8055747777231672,-0.6718937579954768,-0.6487135465249841,-0.5746076017950025,-0.4718138339878181,-0.2826035996025112,-0.08654798648636704,0.11741612242902173,0.20750770119456097,0.237025904931832,0.31117381740115696,0.43675194133222894,0.4920947714024526,0.4970312312420397,0.5610783555313121,0.6733080502717413,0.8283549123675087,0.9349780773442223,1.0087791880714865,1.0619637504360184,1.110870716288864,1.1376860184958018,1.1501313141432385,1.1577764924108296,1.1636182607068164,1.166051133493864,1.1681198050673567,1.1729835432759068,1.1953984560698205,1.2172845998442625,1.2412700958137315,1.24473601087419,1.261761789175884,1.2937888633743242,1.298459497648628,1.3036384189255446,1.3313085327702197,1.346907878924291,1.3924481401133841,1.3958214636581214,1.4275323596988978,1.437251710901441,1.439202531938281,1.452661492932666,1.4625354437392197,1.4732017475818429,1.4749888297865277,0.0
LTP Control_1_1,2014-05-30,-1.2024362437887317,-1.2666133903812407,-1.2891119054032274,-1.2190211408272724,-1.1515329563592376,-1.2079995360138485,-1.0711441184806099,-0.9778484522465349,-0.6533091749061388,-0.8690675282676905,-0.5244235652306437,-0.7366636684129906,-0.5295987208047732,-0.5851908865548971,-0.4233460752891393,-0.24530687433838785,-0.0690832504079851,0.20597071204502856,0.26272193234575253,0.10663973350245266,0.36192233786247835,0.2730714704601518,0.4305979660446438,0.39941526813779776,0.4377655333744625,0.5674167046679854,0.669385168481014,0.7599643602957044,0.8442446150002636,0.9150082655450381,0.9670199692839915,1.0070865047970816,1.0388872400307678,1.2739681545353048,1.0642533326007904,1.0895376230663034,1.1121932172267164,1.138267582337422,1.1596324857048872,1.1636892132561598,1.1941870951528213,1.3193289811370588,1.2378050117399055,1.4522450239971079,1.3856676341902123,1.3511728932403042,1.2793014528142705,1.3689172497854876,1.3158981626783788,1.3455863665205001,1.4165936646488577,1.3794368253625897,1.3640301628888556,1.3750877941955926,1.4814770366302936,1.2783785744874758,0.0
LTP Control_1_1,2014-05-31,-1.300305609917024,-1.1881903740195712,-1.2099746182818538,-1.1355508971727377,-1.0549552744056192,-1.0947455068339746,-0.9479660385262282,-0.8124719411919649,-0.8116089735825726,-0.6531102225180677,-0.46761760184020273,-0.4612460161396287,-0.47711620545051164,-0.25839926437745114,-0.043753307487851584,0.17197566975991183,0.3771441295892106,-0.0038628620266945484,0.2959660782246525,0.571452614258081,0.3566653836283114,0.761448337348616,0.6513680661743453,0.6120264277176825,0.9286703862605342,1.0494342031918593,1.1331892555781808,1.1859684054701816,1.2170722624095087,1.228202249249783,1.2224233869778254,1.212911209195425,1.198082587566808,0.8874556208075853,1.1955076627205223,1.2008635380726886,1.2191589650355545,1.2388089988332989,1.2599298753107668,1.2646641438809998,1.3046181235885967,1.0077004673898684,1.3424465567070547,1.2374623203807817,1.2001092558326278,1.1090259771236628,1.370600968673315,1.1826773791383547,1.3659377576063674,1.3543841680039508,1.360030414684025,1.2432471811052543,1.3143303093710497,1.2929616003361135,1.518797342044339,1.4386414576400943,0.0
LTP Control_1_1,2014-06-01,-1.287511150952168,-1.1927002557686015,-1.1984886904566467,-1.1666227009867576,-1.1173931364679148,-1.3175104845503585,-1.0412384402298374,-0.9376194847960208,-0.6580088729513702,-0.8109938424953049,-0.6030076519228429,-0.6543118904565859,-0.6073237496798188,-0.4750081029401433,-0.2997010110522435,-0.08680155124437734,0.11658651901192957,0.06741174105814672,0.31677748734892225,0.3141012445276887,0.507095449724852,0.5122879321071289,0.587104698823888,0.4722617609318243,0.6958509002994977,0.847734064854844,0.9728030799228863,1.0699561177396675,1.1413893528466208,1.2052123533084067,1.2457729952028647,1.2730920342422773,1.303022998939066,1.0650898986641966,1.3086128707845757,1.3223525669637368,1.3250885708591245,1.3336286904119308,1.3350211981540112,1.2082730607752903,1.3045395250027907,1.1624485009790526,1.2651224212236851,1.4863314923318398,1.3551531304685145,1.2090772586064675,1.2371481196682155,1.2435227932167348,1.2538626720628334,1.2680885895658263,1.2996533900682659,1.2650269059741008,1.278864942031609,1.2721415723420766,1.5984646130074913,1.3098788894913416,0.0
LTP Control_1_1,2014-06-02,-1.2393188128551458,-1.3012887887673752,-1.319383133790339,-1.2665649432341017,-1.2141799233090382,-1.2516423112014448,-1.1430118478720768,-1.0542332517587278,-0.7066955899806759,-0.9415488649050864,-0.519225553288728,-0.8054102290027452,-0.543224904732681,-0.6407910482347133,-0.46521513990477925,-0.2757968279767109,-0.0833104658630503,0.26787073855858257,0.24540093641622965,0.10123128166130947,0.39640481805289707,0.2806316112882173,0.501093913418106,0.43068530817796596,0.457139021709199,0.6103262509671841,0.7342639198619961,0.8389450196819611,0.9266623875655937,0.9986392120638082,1.0551759046783582,1.0854821784083022,1.1061165285421115,1.1853548591715553,1.120907808144068,1.1294382885222118,1.1403105493690784,1.1511451817416456,1.157326776974101,1.2651901866639639,1.1648002393014711,1.2129821849609117,1.1884547349861279,1.4558179607139072,1.3032382046175133,1.231878520599984,1.2099483009314096,1.2437114916543124,1.2296317322936534,1.2464154790801898,1.4702698897941482,1.2537648726968458,1.255231330649786,1.2584073843896009,1.4589475453224365,1.3949688455360336,0.0
LTP Control_1_1,2014-06-03,-1.1667101723959723,-1.273279388965408,-1.2827219008324193,-1.230625425921003,-1.1510473410506965,-1.5399670805932937,-1.0394460866466044,-0.9054454250504081,-0.31353921768974574,-0.7451421915268899,-0.6084316985499749,-0.562051400189923,-0.6919408826741436,-0.3498580333208184,-0.13492565627136874,0.08381569256605345,0.2997064141572853,0.25065768858146026,0.2567879093112826,0.5088633085276155,0.6852805137429694,0.7020837562640058,0.6015755384635341,0.2775912676143139,0.8746462446659495,1.0089754418923929,1.0990327466583547,1.1607060811392516,1.20638219178658,1.2337352380575524,1.239826580185496,1.231653028856648,1.2212974445243634,1.0848874075210218,1.2030935200365167,1.1847534639912454,1.1793896463851494,1.1811156341665305,1.1833404886982557,1.3512901020607337,1.1944498868895532,1.1376737387847564,1.222605929161959,1.547009217978497,1.2892558907065301,1.18002112202985,1.2507162669081697,1.2125122471707948,1.270500335520774,1.2760531066115726,1.4303371272348078,1.2385636108773583,1.2743910402994123,1.2603450294493461,1.4762605590469953,1.3171576725393583,0.0
LTP Control_1_1,2014-06-04,-1.4191523671650146,-1.136169986293708,-1.1475934363550804,-1.1048131504988032,-1.054851080160883,-1.3149739533695546,-0.9825985866275949,-0.8816106191508194,-0.2440178209584225,-0.7626147520128741,-0.7866224168318064,-0.6657382189708269,-0.9321511468093895,-0.5753439619634464,-0.4722051109294046,-0.3201716777052572,-0.12315349321571814,0.2684842103114885,0.18118171382877976,0.059485606994647444,1.0809760021717667,0.23424476218738577,0.42498921253923283,0.21134468981082674,0.4098853077741597,0.5530705465847011,0.6716966559264564,0.7738406721711222,0.8548621010397516,0.9256723871694261,1.016089491746105,1.125498996789057,1.232816276302029,1.1844253252806882,1.2973896731151628,1.316939640309189,1.341696415591885,1.3716845577103332,1.3921672506319227,1.424581534264815,1.4259752195474933,1.2703909585858422,1.4680505001566493,1.380905769898591,1.344268549252347,1.3456303559600173,1.5019769896429986,1.406814712593307,1.5174012976394866,1.5282358731114098,1.4711291682837027,1.4613446907693026,1.5238901507150224,1.5007729036216675,1.4391895335800482,1.518255281250492,0.0
LTP Control_1_1,2014-06-05,-1.1927099955243887,-1.1418338435334952,-1.1545455356184975,-1.1121564407505793,-1.0560001754663653,-1.1817906467414958,-0.9680257570296286,-0.88396282022529,-0.23273066057294572,-0.8059801716673466,-0.858992885389661,-0.6948540636790692,-0.9099418204688088,-0.5387324326973634,-0.38211270895041716,-0.21348489749615657,-0.06006193124308496,-0.09534088783252935,0.20611594476302267,0.11767674898211519,0.9163891966948814,0.3044193533762545,0.38044433398257466,0.1331748199136798,0.4919118919668337,0.6429352410267232,0.7480295586385526,0.8654150646078744,1.001133823003213,1.119373027458943,1.1990672051290896,1.2821699369877695,1.3494416345590396,0.7027507914654242,1.431422841843911,1.4842048262785246,1.5147822044873027,1.5297391893129717,1.550747832022559,1.2051821316647409,1.5916729333238244,0.8414837831282096,1.605372297372418,1.2973197215230257,1.2046734069210372,0.9786961172800315,1.5756466157909306,1.1119113431085128,1.5485864285102047,1.5178164185750007,1.3916331138274018,1.2410061385378135,1.4585452227326237,1.3628798881910094,1.475367453198797,1.342825767710486,0.0
LTP Control_1_1,2014-06-06,-1.416787071810815,-1.1351955256087862,-1.1834971014319067,-1.071680896704935,-0.9993741295460422,-0.9710980275498043,-0.9057485463073243,-0.785941382627468,-0.9584352352238058,-0.6343692088926668,-0.2973978834425488,-0.44828765312166474,-0.44232126432299884,-0.23704751302326774,-0.022871301305337762,0.18812201505142595,0.40302343782009603,0.22546466851856234,0.27264247480127174,0.6122420785729148,0.42835792890375635,0.8127912773058645,1.0557165150837236,1.0071560856476487,0.9919526867940104,1.1294796542638421,1.2584229048004838,1.3645397973361595,1.4409515412647498,1.4812327868354465,1.4883198072552875,1.4688408702580347,1.4427482705417876,0.8005778463057496,1.418784666708383,1.3870774820293672,1.3612935430220405,1.3293235587915868,1.29579831687746,1.3636831200004553,1.2839200452638526,0.8931297039349858,1.2700977544623742,0.9248403051470084,0.9268757536516942,0.9728418989785267,1.256274697628375,1.0402332269609404,1.2365522328452023,1.211892234894957,1.420293349361018,1.095764224617729,1.1776269047721901,1.1421599820852548,1.4902372126911831,1.5089204245111962,0.0
LTP Control_1_1,2014-06-07,-1.4553201508176907,-1.0223770253603215,-1.0418105252581333,-0.9916366437589963,-0.9451580905775688,-1.3005043407103352,-0.8729551723636001,-0.7969955656234816,-0.6000126234667845,-0.7192498354041497,-0.4636480367949774,-0.6188885370657785,-0.589536532642893,-0.5193256433219349,-0.4184980073994182,-0.2909424060939607,-0.1496341773650447,0.29040360334609877,0.007973945133478693,0.02113362884960827,0.550064160214014,0.1658025922890335,0.5971938818092765,0.4747757927764961,0.32065518467511395,0.49530655067042684,0.6472463378676113,0.7661790251752099,0.8748308095586552,0.9831406010156473,1.0810119381897563,1.1770920986910154,1.2785743796485018,1.1385299147543781,1.362147905455744,1.433603035939172,1.470779381521067,1.514151664385811,1.567289243952609,1.4107219735641856,1.5653141671256403,1.2441604307569498,1.5522384871782382,1.371123202780244,1.3382434684230362,1.3325095659371482,1.5586370936201406,1.4017469813714432,1.5591830190040568,1.5571806910256927,1.6097515188115987,1.4549078417232082,1.5365961458060233,1.4985410859450239,1.4099528637645657,1.5295597241397536,0.0
LTP Control_1_1,2014-06-08,-1.181864519755961,-1.065050869200101,-1.0830476448105972,-1.0377060111260927,-1.004518454248685,-1.2926782078674879,-0.9616381272154525,-0.9048016506265608,-0.21928909124333962,-0.8396226625226677,-0.6920308376120508,-0.7555978080065576,-0.861413257391879,-0.6260001928201477,-0.4786104487293754,-0.3180277254426821,-0.12975969758435796,0.27915921778685704,0.050254695963105396,0.0567992556875829,0.8932791508533043,0.2361470723773812,0.47498014575360803,0.14382046451174935,0.41376897657538503,0.558102849268804,0.6888711791875294,0.816826509541528,0.9318123480975316,1.0411174416755413,1.1378970186030264,1.1970587392426284,1.2398406578717378,1.2114319033598606,1.269113102682439,1.2796671978554341,1.2919698342876142,1.2994669524526747,1.3101507031222885,1.3394535220116452,1.3500081367655903,1.2991301580949233,1.3917071098302571,1.4508702690563813,1.3670693185527207,1.3735190364020402,1.423639209643003,1.426969444649788,1.4586740696166103,1.4797559337434292,1.4825536928604073,1.4590623654902128,1.4868671847532127,1.4804444482017804,1.4805936759845004,1.3322555688830295,0.0
LTP Control_1_1,2014-06-09,-1.3065461942266179,-1.2187571557695398,-1.2350434767818232,-1.1817791730608351,-1.1183137546384998,-1.0295887515967752,-1.033643893755127,-0.9355585713270509,-0.738557440712852,-0.8182802792026991,-0.5597377678052124,-0.6728825036951166,-0.6366445532399103,-0.4981316306103669,-0.30251059525605134,-0.10951524096144383,0.09227312284769182,0.13682095641980627,0.2236174362953782,0.29692135690442995,0.5953389371121927,0.5004197324438151,0.6811355778586691,0.6190665264957363,0.6929162652532374,0.8370539930377484,0.9424095754986355,1.0412056331538915,1.1310514166465657,1.1963778330715262,1.2346767909729208,1.2528847404515027,1.262604854024385,0.9703546998916259,1.285828045895844,1.292943417328164,1.2995235840469956,1.2986934524297926,1.29684845149739,1.297053459333393,1.3271080112197107,1.0785527942526436,1.3608425405024165,1.1412779451316553,1.131148725222439,1.1664246762326413,1.385806781225412,1.2283342290103547,1.3912754031938384,1.3888555472542456,1.3774195417128692,1.2983125423049042,1.3750838270781163,1.3453244253677346,1.4849222303285032,1.4868527039203885,0.0
LTP Control_1_1,2014-06-10,-1.1307988058945937,-1.2340232637644235,-1.260899521760745,-1.1688330979313915,-1.0737311092448325,-1.0960117933327145,-0.9691588079878511,-0.8496308853862754,-0.6877310873374808,-0.7108174662052187,-0.5232804199503085,-0.5222390730467475,-0.5470223670797869,-0.3169566245304754,-0.10718834535322343,0.09818098277265579,0.292949112992376,-0.21042209313312565,0.4200389382805029,0.5135913398351626,0.4022817897477375,0.7263028289590735,0.6333122921462517,0.5637884138685004,0.8936042026672592,1.0146289492607294,1.1119515169507674,1.1924551204838207,1.2780402384118374,1.336119039872526,1.3598853124311925,1.3764017353900482,1.3823675652771221,0.7164077998330054,1.3942681862591904,1.3871682801325211,1.3872695188094921,1.3856418024909032,1.369482115331395,1.1805788599911973,1.376239579457593,0.7998112097681854,1.3719028510314646,1.2451461095896346,1.1331302025880756,0.877837076454966,1.3564870143257963,0.9398068950891577,1.316538058343676,1.2529682915065206,1.0656393238079631,0.9978223135959258,1.1661488376892577,1.0755215477604445,1.7257942710101914,1.307754741325845,0.0
LTP Control_1_1,2014-06-11,-0.9994418079917263,-1.2473255611078065,-1.2921109548912346,-1.1886521293575545,-1.1138927168709802,-1.3453673446518268,-1.0247184140075902,-0.9209778850452481,-0.3825744253957001,-0.7765137941607785,-0.6496308315785253,-0.5949941250228549,-0.6970198153937411,-0.40362261358872387,-0.23654551819142133,-0.07385642206393045,0.10093960937891473,0.24684930919051953,0.21665869295523207,0.2711353326394469,0.604784728712289,0.42394205722610817,0.4305471614255903,0.222709516610949,0.5484259478122979,0.6670444547713712,0.7698315903966958,0.8538060192497411,0.9414246256294755,1.0084560448803321,1.0386091834771878,1.039663392336008,1.0624785707035007,1.1965618886908753,1.1022074081039934,1.133492734244943,1.1658828824983702,1.2049487459851627,1.2503075731215454,1.174403319141826,1.2836620252141961,1.2552547685857836,1.3217624139407749,1.5261034592002238,1.3423747800069807,1.3048641862506247,1.3688749705425678,1.3415231557295144,1.3904052298439744,1.3928945923600198,1.5378185447868957,1.3670955971320307,1.385308838884045,1.3781076670405448,1.3790219658990894,1.1474987618728107,0.0
LTP Control_1_1,2014-06-12,-1.114790551619657,-1.1286688081185015,-1.1851608648284961,-1.0727938477445254,-1.0060713772770706,-1.1234925672080824,-0.9174018739180992,-0.8058767883372284,-0.5924963152000501,-0.6702009388394857,-0.5538454509722971,-0.5124697096984021,-0.6995969007453471,-0.33653329587049025,-0.1506601480592246,0.03322953435617051,0.2151381946479124,0.1759207560018231,0.32052519186750505,0.3868241343969277,0.6634774543333822,0.5485484667235953,0.5861702955230393,0.48443713299809293,0.6885069935558793,0.8057195993366864,0.9121687250317806,1.0067585011968523,1.0843384249478847,1.1351633581418303,1.1662948600575889,1.1845838737234566,1.1976817612387634,1.1094977731823024,1.2071208099497666,1.2126075875023306,1.2133435845983265,1.2136367772643646,1.2216951684121709,1.2085897811856658,1.2400845186082914,1.15352215197149,1.256852912325925,1.3475512993953325,1.280104820202013,1.1878028694055844,1.2709724510260139,1.2145978646792868,1.274233995211338,1.271093354341384,1.3741200524006674,1.2359672028652204,1.2614910161811705,1.2510786404985377,1.5389931291971142,1.2687404498189871,0.0
LTP Control_1_1,2014-06-13,-1.1718094638582226,-1.3339234992340954,-1.36965425535315,-1.275974977016306,-1.205009870745173,-1.1144821710022121,-1.1162247347791647,-1.008678599120976,-0.7314054622557064,-0.8695080670795745,-0.7226415999420783,-0.7037718711767005,-0.7145357323265802,-0.5226438987354999,-0.3300975759804499,-0.12722121796064628,0.07792309148830036,0.2049535521453852,0.2715904297782847,0.274074508306724,0.5413817504601944,0.4614732222960158,0.5059566986827218,0.4692899983498072,0.6209025030749635,0.7388028278005955,0.8485686453680145,0.9459712731409083,1.0213533413592595,1.0744900543671312,1.1045765139210013,1.1208914212242465,1.1271821728763003,1.1117707213861143,1.1315654748884552,1.1311628277222696,1.128827404081135,1.1334520765441343,1.143912501211108,1.215794270977241,1.1657899660518927,1.1416176005060532,1.185163837066812,1.350530482994576,1.2758453075724283,1.1606813263351914,1.1998259036890677,1.1789150632156484,1.2095868659172586,1.2115775551521724,1.422050233277572,1.1932423738238382,1.2105142698714895,1.2017607291621004,1.4897517094322739,1.326388973140727,0.0
