id,date,pk,bk,ctend,bk1,T_Amb_Avg,H_Relat_Avg,R_Neta_Avg,VPD_Avg,Y
TDV Control1,2014-05-15,1.0,2.0,98.8,1.0,22.102850694444445,45.107395833333335,150.19674652777778,1.7154635416666666,0.0
TDV Control2,2014-05-15,1.0,2.0,106.1,1.0,22.102850694444445,45.107395833333335,150.19674652777778,1.7154635416666666,0.0
TDV 45RDI-PB1,2014-05-15,1.0,2.0,74.8,1.0,22.102850694444445,45.107395833333335,150.19674652777778,1.7154635416666666,0.0
TDV 45RDI-PB2,2014-05-15,1.0,2.0,57.2,1.0,22.102850694444445,45.107395833333335,150.19674652777778,1.7154635416666666,0.0
TDV 45RDI-CC1,2014-05-15,1.0,2.0,158.3,1.0,22.102850694444445,45.107395833333335,150.19674652777778,1.7154635416666666,0.0
TDV 45RDI-CC2,2014-05-15,1.0,2.0,128.0,1.0,22.102850694444445,45.107395833333335,150.19674652777778,1.7154635416666666,0.0
TDV Control1,2014-05-16,-1.0,1.0,96.8,0.0,20.449600694444445,40.65294791666667,153.44175694444652,1.6687659722222223,1.0
TDV Control2,2014-05-16,2.0,2.0,142.1,1.0,20.449600694444445,40.65294791666667,153.44175694444652,1.6687659722222223,0.0
TDV 45RDI-PB1,2014-05-16,2.0,2.0,76.8,1.0,20.449600694444445,40.65294791666667,153.44175694444652,1.6687659722222223,0.0
TDV 45RDI-PB2,2014-05-16,-1.0,1.0,57.2,0.0,20.449600694444445,40.65294791666667,153.44175694444652,1.6687659722222223,0.0
TDV 45RDI-CC1,2014-05-16,-1.0,1.0,125.9,0.0,20.449600694444445,40.65294791666667,153.44175694444652,1.6687659722222223,1.0
TDV 45RDI-CC2,2014-05-16,-1.0,1.0,118.0,0.0,20.449600694444445,40.65294791666667,153.44175694444652,1.6687659722222223,1.0
TDV Control1,2014-05-17,1.0,1.5,110.39999999999999,1.0,20.24914236111111,48.51707638888889,155.17704861113404,1.4261239583333334,0.0
TDV Control2,2014-05-17,3.0,2.0,262.3,1.0,20.24914236111111,48.51707638888889,155.17704861113404,1.4261239583333334,0.0
TDV 45RDI-PB1,2014-05-17,3.0,2.0,80.7,1.0,20.24914236111111,48.51707638888889,155.17704861113404,1.4261239583333334,0.0
