,,pk,bk,ctend,bk1,Y
TDV Control1,2014-05-15,1.0,2.0,98.8,1.0,0.0
TDV Control2,2014-05-15,1.0,2.0,106.1,1.0,0.0
TDV 45RDI-PB1,2014-05-15,1.0,2.0,74.8,1.0,0.0
TDV 45RDI-PB2,2014-05-15,1.0,2.0,57.2,1.0,0.0
TDV 45RDI-CC1,2014-05-15,1.0,2.0,158.3,1.0,0.0
TDV 45RDI-CC2,2014-05-15,1.0,2.0,128.0,1.0,0.0
TDV Control1,2014-05-16,-1.0,1.0,96.8,0.0,1.0
TDV Control2,2014-05-16,2.0,2.0,142.1,1.0,0.0
TDV 45RDI-PB1,2014-05-16,2.0,2.0,76.8,1.0,0.0
TDV 45RDI-PB2,2014-05-16,-1.0,1.0,57.2,0.0,0.0
TDV 45RDI-CC1,2014-05-16,-1.0,1.0,125.9,0.0,1.0
TDV 45RDI-CC2,2014-05-16,-1.0,1.0,118.0,0.0,1.0
TDV Control1,2014-05-17,1.0,1.5,110.39999999999999,1.0,0.0
TDV Control2,2014-05-17,3.0,2.0,262.3,1.0,0.0
TDV 45RDI-PB1,2014-05-17,3.0,2.0,80.7,1.0,0.0
TDV 45RDI-PB2,2014-05-17,-2.0,0.5,0.0,0.0,0.0
TDV 45RDI-CC1,2014-05-17,-2.0,0.5,-47.7,0.0,1.0
TDV 45RDI-CC2,2014-05-17,-2.0,0.5,-70.0,0.0,1.0
TDV Control1,2014-05-18,2.0,1.75,69.69999999999999,1.0,0.0
TDV Control2,2014-05-18,4.0,2.0,344.4,1.0,0.0
TDV 45RDI-PB1,2014-05-18,4.0,2.0,86.6,1.0,0.0
TDV 45RDI-PB2,2014-05-18,1.0,1.25,1.8999999999999986,1.0,0.0
TDV 45RDI-CC1,2014-05-18,-3.0,0.25,-64.80000000000001,0.0,1.0
TDV 45RDI-CC2,2014-05-18,-3.0,0.25,-184.0,0.0,1.0
TDV Control1,2014-05-19,-1.0,0.875,38.70000000000002,0.0,1.0
TDV Control2,2014-05-19,-1.0,1.0,314.3,0.0,1.0
TDV 45RDI-PB1,2014-05-19,-1.0,1.0,68.9,0.0,1.0
TDV 45RDI-PB2,2014-05-19,-1.0,0.625,-24.800000000000004,0.0,1.0
TDV 45RDI-CC1,2014-05-19,-4.0,0.125,-186.9,0.0,1.0
TDV 45RDI-CC2,2014-05-19,-4.0,0.125,-368.0,0.0,1.0
TDV Control1,2014-05-20,1.0,1.4375,160.79999999999998,1.0,0.0
TDV Control2,2014-05-20,1.0,1.5,138.2,1.0,0.0
TDV 45RDI-PB1,2014-05-20,1.0,1.5,70.9,1.0,0.0
TDV 45RDI-PB2,2014-05-20,1.0,1.3125,85.8,1.0,0.0
TDV 45RDI-CC1,2014-05-20,-5.0,0.0625,-202.2,0.0,1.0
TDV 45RDI-CC2,2014-05-20,-5.0,0.0625,-432.0,0.0,1.0
TDV Control1,2014-05-21,2.0,1.71875,50.30000000000001,1.0,0.0
TDV Control2,2014-05-21,2.0,1.75,74.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-05-21,2.0,1.75,86.6,1.0,0.0
TDV 45RDI-PB2,2014-05-21,2.0,1.65625,150.70000000000002,1.0,0.0
TDV 45RDI-CC1,2014-05-21,1.0,1.03125,91.6,1.0,0.0
TDV 45RDI-CC2,2014-05-21,1.0,1.03125,84.0,1.0,0.0
TDV Control1,2014-05-22,-1.0,0.859375,42.60000000000002,0.0,1.0
TDV Control2,2014-05-22,3.0,1.875,76.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-05-22,-1.0,0.875,78.69999999999999,0.0,1.0
TDV 45RDI-PB2,2014-05-22,-1.0,0.828125,150.70000000000002,0.0,1.0
TDV 45RDI-CC1,2014-05-22,2.0,1.515625,26.69999999999999,1.0,0.0
TDV 45RDI-CC2,2014-05-22,2.0,1.515625,144.0,1.0,0.0
TDV Control1,2014-05-23,1.0,1.4296875,21.30000000000001,1.0,0.0
TDV Control2,2014-05-23,4.0,1.9375,122.20000000000005,1.0,0.0
TDV 45RDI-PB1,2014-05-23,1.0,1.4375,5.900000000000006,1.0,0.0
TDV 45RDI-PB2,2014-05-23,-2.0,0.4140625,-17.200000000000017,0.0,1.0
TDV 45RDI-CC1,2014-05-23,-1.0,0.7578125,13.300000000000011,0.0,1.0
TDV 45RDI-CC2,2014-05-23,-1.0,0.7578125,128.0,0.0,1.0
TDV Control1,2014-05-24,-1.0,0.71484375,-34.900000000000034,0.0,1.0
TDV Control2,2014-05-24,-1.0,0.96875,108.10000000000002,0.0,1.0
TDV 45RDI-PB1,2014-05-24,-1.0,0.71875,-68.9,0.0,1.0
TDV 45RDI-PB2,2014-05-24,-3.0,0.20703125,-125.9,0.0,1.0
TDV 45RDI-CC1,2014-05-24,-2.0,0.37890625,-104.9,0.0,1.0
TDV 45RDI-CC2,2014-05-24,-2.0,0.37890625,-176.0,0.0,1.0
TDV Control1,2014-05-25,1.0,1.357421875,38.69999999999999,1.0,0.0
TDV Control2,2014-05-25,1.0,1.484375,24.100000000000023,1.0,0.0
TDV 45RDI-PB1,2014-05-25,-2.0,0.359375,-5.900000000000006,0.0,1.0
TDV 45RDI-PB2,2014-05-25,-4.0,0.103515625,-316.6,0.0,1.0
TDV 45RDI-CC1,2014-05-25,-3.0,0.189453125,-150.70000000000002,0.0,1.0
TDV 45RDI-CC2,2014-05-25,-3.0,0.189453125,-364.0,0.0,1.0
TDV Control1,2014-05-26,2.0,1.6787109375,29.100000000000023,1.0,0.0
TDV Control2,2014-05-26,2.0,1.7421875,52.0,1.0,0.0
TDV 45RDI-PB1,2014-05-26,1.0,1.1796875,11.800000000000011,1.0,0.0
TDV 45RDI-PB2,2014-05-26,-5.0,0.0517578125,-337.6,0.0,1.0
TDV 45RDI-CC1,2014-05-26,-4.0,0.0947265625,-206.0,0.0,1.0
TDV 45RDI-CC2,2014-05-26,-4.0,0.0947265625,-604.0,0.0,1.0
TDV Control1,2014-05-27,3.0,1.83935546875,87.20000000000005,1.0,0.0
TDV Control2,2014-05-27,3.0,1.87109375,126.09999999999991,1.0,0.0
TDV 45RDI-PB1,2014-05-27,-1.0,0.58984375,-17.700000000000017,0.0,1.0
TDV 45RDI-PB2,2014-05-27,1.0,1.02587890625,-215.5,1.0,0.0
TDV 45RDI-CC1,2014-05-27,-5.0,0.04736328125,-293.7,0.0,1.0
TDV 45RDI-CC2,2014-05-27,-5.0,0.04736328125,-902.0,0.0,1.0
TDV Control1,2014-05-28,4.0,1.919677734375,141.39999999999998,1.0,0.0
TDV Control2,2014-05-28,4.0,1.935546875,204.19999999999993,1.0,0.0
TDV 45RDI-PB1,2014-05-28,1.0,1.294921875,39.400000000000006,1.0,0.0
TDV 45RDI-PB2,2014-05-28,2.0,1.512939453125,49.60000000000001,1.0,0.0
TDV 45RDI-CC1,2014-05-28,1.0,1.023681640625,-259.40000000000003,1.0,0.0
TDV 45RDI-CC2,2014-05-28,-6.0,0.023681640625,-992.0,0.0,1.0
TDV Control1,2014-05-29,5.0,1.9598388671875,189.80000000000007,1.0,0.0
TDV Control2,2014-05-29,5.0,1.9677734375,254.29999999999995,1.0,0.0
TDV 45RDI-PB1,2014-05-29,2.0,1.6474609375,124.0,1.0,0.0
TDV 45RDI-PB2,2014-05-29,3.0,1.7564697265625,312.8,1.0,0.0
TDV 45RDI-CC1,2014-05-29,2.0,1.5118408203125,322.3,1.0,0.0
TDV 45RDI-CC2,2014-05-29,1.0,1.0118408203125,-104.0,1.0,0.0
TDV Control1,2014-05-30,-1.0,0.97991943359375,143.39999999999998,0.0,1.0
TDV Control2,2014-05-30,-1.0,0.98388671875,248.29999999999995,0.0,0.0
TDV 45RDI-PB1,2014-05-30,-1.0,0.82373046875,13.699999999999989,0.0,1.0
TDV 45RDI-PB2,2014-05-30,-1.0,0.87823486328125,200.2,0.0,1.0
TDV 45RDI-CC1,2014-05-30,-1.0,0.75592041015625,185.0,0.0,1.0
TDV 45RDI-CC2,2014-05-30,-1.0,0.50592041015625,-116.0,0.0,1.0
TDV Control1,2014-05-31,1.0,1.489959716796875,106.5,1.0,0.0
TDV Control2,2014-05-31,1.0,1.491943359375,68.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-05-31,-2.0,0.411865234375,-98.39999999999999,0.0,1.0
TDV 45RDI-PB2,2014-05-31,-2.0,0.439117431640625,-150.6,0.0,1.0
TDV 45RDI-CC1,2014-05-31,-2.0,0.377960205078125,-223.10000000000002,0.0,1.0
TDV 45RDI-CC2,2014-05-31,-2.0,0.252960205078125,-550.0,0.0,1.0
TDV Control1,2014-06-01,2.0,1.7449798583984375,69.70000000000005,1.0,0.0
TDV Control2,2014-06-01,2.0,1.7459716796875,94.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-06-01,-3.0,0.2059326171875,-125.89999999999999,0.0,1.0
TDV 45RDI-PB2,2014-06-01,-3.0,0.2195587158203125,-190.7,0.0,1.0
TDV 45RDI-CC1,2014-06-01,-3.0,0.1889801025390625,-284.1,0.0,1.0
TDV 45RDI-CC2,2014-06-01,-3.0,0.1264801025390625,-880.0,0.0,2.0
TDV Control1,2014-06-02,-1.0,0.8724899291992188,-69.79999999999995,0.0,1.0
TDV Control2,2014-06-02,-1.0,0.87298583984375,40.0,0.0,1.0
TDV 45RDI-PB1,2014-06-02,-4.0,0.10296630859375,-155.5,0.0,1.0
TDV 45RDI-PB2,2014-06-02,-4.0,0.10977935791015625,-223.1,0.0,1.0
TDV 45RDI-CC1,2014-06-02,-4.0,0.09449005126953125,-345.20000000000005,0.0,1.0
TDV 45RDI-CC2,2014-06-02,-4.0,0.06324005126953125,-1120.0,0.0,2.0
TDV Control1,2014-06-03,1.0,1.4362449645996094,120.10000000000002,1.0,0.0
TDV Control2,2014-06-03,1.0,1.436492919921875,66.10000000000002,1.0,0.0
TDV 45RDI-PB1,2014-06-03,1.0,1.051483154296875,-125.89999999999999,1.0,0.0
TDV 45RDI-PB2,2014-06-03,1.0,1.0548896789550781,-82.0,1.0,0.0
TDV 45RDI-CC1,2014-06-03,1.0,1.0472450256347656,-93.4,1.0,0.0
TDV 45RDI-CC2,2014-06-03,1.0,1.0316200256347656,-560.0,1.0,1.0
TDV Control1,2014-06-04,2.0,1.7181224822998047,127.79999999999995,1.0,0.0
TDV Control2,2014-06-04,2.0,1.7182464599609375,84.09999999999991,1.0,0.0
TDV 45RDI-PB1,2014-06-04,-1.0,0.5257415771484375,-49.199999999999996,0.0,1.0
TDV 45RDI-PB2,2014-06-04,-1.0,0.5274448394775391,-103.0,0.0,1.0
TDV 45RDI-CC1,2014-06-04,-1.0,0.5236225128173828,-196.5,0.0,1.0
TDV 45RDI-CC2,2014-06-04,-1.0,0.5158100128173828,-386.0,0.0,2.0
TDV Control1,2014-06-05,3.0,1.8590612411499023,170.39999999999998,1.0,0.0
TDV Control2,2014-06-05,3.0,1.8591232299804688,154.20000000000005,1.0,0.0
TDV 45RDI-PB1,2014-06-05,-2.0,0.26287078857421875,-61.1,0.0,1.0
TDV 45RDI-PB2,2014-06-05,-2.0,0.26372241973876953,-76.3,0.0,1.0
TDV 45RDI-CC1,2014-06-05,-2.0,0.2618112564086914,-104.9,0.0,1.0
TDV 45RDI-CC2,2014-06-05,-2.0,0.2579050064086914,-308.0,0.0,2.0
TDV Control1,2014-06-06,4.0,1.9295306205749512,247.89999999999998,1.0,0.0
TDV Control2,2014-06-06,4.0,1.9295616149902344,222.29999999999995,1.0,0.0
TDV 45RDI-PB1,2014-06-06,1.0,1.1314353942871094,277.5,1.0,0.0
TDV 45RDI-PB2,2014-06-06,1.0,1.1318612098693848,362.4,1.0,0.0
TDV 45RDI-CC1,2014-06-06,1.0,1.1309056282043457,444.4,1.0,0.0
TDV 45RDI-CC2,2014-06-06,1.0,1.1289525032043457,896.0,1.0,0.0
TDV Control1,2014-06-07,5.0,1.9647653102874756,315.69999999999993,1.0,0.0
TDV Control2,2014-06-07,5.0,1.9647808074951172,296.39999999999986,1.0,0.0
TDV 45RDI-PB1,2014-06-07,2.0,1.5657176971435547,61.0,1.0,0.0
TDV 45RDI-PB2,2014-06-07,2.0,1.5659306049346924,91.60000000000002,1.0,0.0
TDV 45RDI-CC1,2014-06-07,2.0,1.5654528141021729,106.80000000000001,1.0,0.0
TDV 45RDI-CC2,2014-06-07,2.0,1.5644762516021729,270.0,1.0,0.0
TDV Control1,2014-06-08,-1.0,0.9823826551437378,311.80000000000007,0.0,1.0
TDV Control2,2014-06-08,-1.0,0.9823904037475586,290.29999999999995,0.0,1.0
TDV 45RDI-PB1,2014-06-08,-1.0,0.7828588485717773,55.099999999999966,0.0,1.0
TDV 45RDI-PB2,2014-06-08,-1.0,0.7829653024673462,82.0,0.0,1.0
TDV 45RDI-CC1,2014-06-08,-1.0,0.7827264070510864,76.30000000000001,0.0,1.0
TDV 45RDI-CC2,2014-06-08,3.0,1.7822381258010864,296.0,1.0,0.0
TDV Control1,2014-06-09,1.0,1.491191327571869,32.899999999999864,1.0,0.0
TDV Control2,2014-06-09,1.0,1.4911952018737793,56.09999999999991,1.0,0.0
TDV 45RDI-PB1,2014-06-09,1.0,1.3914294242858887,9.800000000000011,1.0,0.0
TDV 45RDI-PB2,2014-06-09,-2.0,0.3914826512336731,-7.599999999999966,0.0,1.0
TDV 45RDI-CC1,2014-06-09,-2.0,0.3913632035255432,-89.59999999999997,0.0,1.0
TDV 45RDI-CC2,2014-06-09,4.0,1.8911190629005432,320.0,1.0,0.0
TDV Control1,2014-06-10,2.0,1.7455956637859344,17.40000000000009,1.0,0.0
TDV Control2,2014-06-10,2.0,1.7455976009368896,26.0,1.0,0.0
TDV 45RDI-PB1,2014-06-10,-1.0,0.6957147121429443,-1.8999999999999773,0.0,0.0
TDV 45RDI-PB2,2014-06-10,-3.0,0.19574132561683655,-11.399999999999977,0.0,1.0
TDV 45RDI-CC1,2014-06-10,-3.0,0.1956816017627716,-139.2,0.0,1.0
TDV 45RDI-CC2,2014-06-10,-1.0,0.9455595314502716,316.0,0.0,1.0
TDV Control1,2014-06-11,-1.0,0.8727978318929672,-15.5,0.0,1.0
TDV Control2,2014-06-11,3.0,1.8727988004684448,88.10000000000014,1.0,0.0
TDV 45RDI-PB1,2014-06-11,-2.0,0.34785735607147217,-57.10000000000002,0.0,1.0
TDV 45RDI-PB2,2014-06-11,-4.0,0.09787066280841827,-61.0,0.0,1.0
TDV 45RDI-CC1,2014-06-11,-4.0,0.0978408008813858,-177.39999999999998,0.0,1.0
TDV 45RDI-CC2,2014-06-11,-2.0,0.4727797657251358,-36.0,0.0,1.0
TDV Control1,2014-06-12,-2.0,0.4363989159464836,-5.7999999999999545,0.0,1.0
TDV Control2,2014-06-12,4.0,1.9363994002342224,92.10000000000014,1.0,0.0
TDV 45RDI-PB1,2014-06-12,-3.0,0.17392867803573608,-122.10000000000002,0.0,1.0
TDV 45RDI-PB2,2014-06-12,-5.0,0.04893533140420914,-87.69999999999999,0.0,1.0
TDV 45RDI-CC1,2014-06-12,-5.0,0.0489204004406929,-200.29999999999998,0.0,1.0
TDV 45RDI-CC2,2014-06-12,1.0,1.236389882862568,-28.0,1.0,0.0
TDV Control1,2014-06-13,-3.0,0.2181994579732418,-48.399999999999864,0.0,1.0
TDV Control2,2014-06-13,-1.0,0.9681997001171112,80.10000000000014,0.0,1.0
TDV 45RDI-PB1,2014-06-13,-4.0,0.08696433901786804,-257.90000000000003,0.0,1.0
TDV 45RDI-PB2,2014-06-13,-6.0,0.02446766570210457,-171.59999999999997,0.0,1.0
TDV 45RDI-CC1,2014-06-13,-6.0,0.02446020022034645,-267.0,0.0,1.0
TDV 45RDI-CC2,2014-06-13,-1.0,0.618194941431284,-46.0,0.0,1.0
TDV Control1,2014-06-14,-4.0,0.1090997289866209,-89.09999999999991,0.0,1.0
TDV Control2,2014-06-14,1.0,1.4840998500585556,2.0,1.0,1.0
TDV 45RDI-PB1,2014-06-14,-5.0,0.04348216950893402,-389.70000000000005,0.0,2.0
TDV 45RDI-PB2,2014-06-14,-7.0,0.012233832851052284,-297.5,0.0,1.0
TDV 45RDI-CC1,2014-06-14,-7.0,0.012230100110173225,-339.5,0.0,1.0
TDV 45RDI-CC2,2014-06-14,-2.0,0.309097470715642,-40.0,0.0,1.0
TDV Control1,2014-06-15,1.0,1.0545498644933105,3.900000000000091,1.0,0.0
TDV Control2,2014-06-15,2.0,1.7420499250292778,28.0,1.0,0.0
TDV 45RDI-PB1,2014-06-15,1.0,1.021741084754467,-368.1,1.0,0.0
TDV 45RDI-PB2,2014-06-15,1.0,1.0061169164255261,-286.09999999999997,1.0,0.0
TDV 45RDI-CC1,2014-06-15,1.0,1.0061150500550866,-288.0,1.0,0.0
TDV 45RDI-CC2,2014-06-15,1.0,1.154548735357821,20.0,1.0,0.0
TDV Control1,2014-06-16,2.0,1.5272749322466552,135.5,1.0,0.0
TDV Control2,2014-06-16,3.0,1.871024962514639,104.09999999999991,1.0,0.0
TDV 45RDI-PB1,2014-06-16,2.0,1.5108705423772335,92.5,1.0,0.0
TDV 45RDI-PB2,2014-06-16,2.0,1.503058458212763,89.69999999999999,1.0,0.0
TDV 45RDI-CC1,2014-06-16,2.0,1.5030575250275433,78.2,1.0,0.0
TDV 45RDI-CC2,2014-06-16,2.0,1.5772743676789105,84.0,1.0,0.0
TDV Control1,2014-06-17,3.0,1.7636374661233276,195.5999999999999,1.0,0.0
TDV Control2,2014-06-17,4.0,1.9355124812573195,146.20000000000005,1.0,0.0
TDV 45RDI-PB1,2014-06-17,-1.0,0.7554352711886168,76.8,0.0,1.0
TDV 45RDI-PB2,2014-06-17,-1.0,0.7515292291063815,87.80000000000001,0.0,0.0
TDV 45RDI-CC1,2014-06-17,3.0,1.7515287625137717,104.89999999999999,1.0,0.0
TDV 45RDI-CC2,2014-06-17,3.0,1.7886371838394552,110.0,1.0,0.0
TDV Control1,2014-06-18,4.0,1.8818187330616638,201.39999999999986,1.0,0.0
TDV Control2,2014-06-18,-1.0,0.9677562406286597,144.20000000000005,0.0,0.0
TDV 45RDI-PB1,2014-06-18,-2.0,0.3777176355943084,-65.0,0.0,1.0
TDV 45RDI-PB2,2014-06-18,-2.0,0.37576461455319077,-34.400000000000034,0.0,1.0
TDV 45RDI-CC1,2014-06-18,-1.0,0.8757643812568858,99.2,0.0,1.0
TDV 45RDI-CC2,2014-06-18,-1.0,0.8943185919197276,108.0,0.0,0.0
TDV Control1,2014-06-19,5.0,1.940909366530832,214.89999999999986,1.0,0.0
TDV Control2,2014-06-19,1.0,1.4838781203143299,2.0,1.0,0.0
TDV 45RDI-PB1,2014-06-19,-3.0,0.1888588177971542,-129.9,0.0,1.0
TDV 45RDI-PB2,2014-06-19,-3.0,0.18788230727659538,-99.20000000000002,0.0,1.0
TDV 45RDI-CC1,2014-06-19,1.0,1.437882190628443,5.699999999999989,1.0,0.0
TDV 45RDI-CC2,2014-06-19,1.0,1.4471592959598638,16.0,1.0,0.0
TDV Control1,2014-06-20,6.0,1.970454683265416,259.5,1.0,0.0
TDV Control2,2014-06-20,2.0,1.741939060157165,36.0,1.0,0.0
TDV 45RDI-PB1,2014-06-20,-4.0,0.0944294088985771,-139.8,0.0,1.0
TDV 45RDI-PB2,2014-06-20,-4.0,0.09394115363829769,-133.50000000000003,0.0,1.0
TDV 45RDI-CC1,2014-06-20,2.0,1.7189410953142215,26.700000000000017,1.0,0.0
TDV 45RDI-CC2,2014-06-20,2.0,1.723579647979932,58.0,1.0,0.0
TDV Control1,2014-06-21,7.0,1.985227341632708,327.29999999999995,1.0,0.0
TDV Control2,2014-06-21,3.0,1.8709695300785825,104.09999999999991,1.0,0.0
TDV 45RDI-PB1,2014-06-21,-5.0,0.04721470444928855,-194.89999999999998,0.0,1.0
TDV 45RDI-PB2,2014-06-21,-5.0,0.046970576819148846,-167.90000000000003,0.0,1.0
TDV 45RDI-CC1,2014-06-21,3.0,1.8594705476571107,45.80000000000001,1.0,0.0
TDV 45RDI-CC2,2014-06-21,3.0,1.861789823989966,80.0,1.0,0.0
TDV Control1,2014-06-22,8.0,1.992613670816354,358.20000000000005,1.0,0.0
TDV Control2,2014-06-22,4.0,1.9354847650392912,130.19999999999982,1.0,0.0
TDV 45RDI-PB1,2014-06-22,-6.0,0.023607352224644274,-234.3,0.0,2.0
TDV 45RDI-PB2,2014-06-22,-6.0,0.023485288409574423,-223.20000000000002,0.0,1.0
TDV 45RDI-CC1,2014-06-22,-1.0,0.9297352738285554,40.099999999999994,0.0,1.0
TDV 45RDI-CC2,2014-06-22,4.0,1.930894911994983,108.0,1.0,0.0
TDV Control1,2014-06-25,-1.0,0.9990767088520442,519.0,0.0,1.0
TDV Control2,2014-06-25,-1.0,0.9919355956299114,298.39999999999986,0.0,0.0
TDV 45RDI-PB1,2014-06-25,-1.0,0.7529509190280805,-9.800000000000011,0.0,1.0
TDV 45RDI-PB2,2014-06-25,-1.0,0.7529356610511968,53.400000000000006,0.0,1.0
TDV 45RDI-CC1,2014-06-25,-2.0,0.3662169092285694,-55.30000000000001,0.0,1.0
TDV 45RDI-CC2,2014-06-25,-1.0,0.9913618639993729,122.0,0.0,1.0
TDV Control1,2014-06-26,-2.0,0.4995383544260221,-19.40000000000009,0.0,1.0
TDV Control2,2014-06-26,1.0,1.4959677978149557,14.0,1.0,0.0
TDV 45RDI-PB1,2014-06-26,-2.0,0.37647545951404027,-72.80000000000001,0.0,1.0
TDV 45RDI-PB2,2014-06-26,-2.0,0.3764678305255984,-152.6,0.0,1.0
TDV 45RDI-CC1,2014-06-26,-3.0,0.1831084546142847,-64.80000000000001,0.0,1.0
TDV 45RDI-CC2,2014-06-26,1.0,1.4956809319996864,14.0,1.0,0.0
TDV Control1,2014-06-27,-3.0,0.24976917721301106,-73.60000000000014,0.0,1.0
TDV Control2,2014-06-27,2.0,1.7479838989074779,24.0,1.0,0.0
TDV 45RDI-PB1,2014-06-27,-3.0,0.18823772975702013,-175.2,0.0,2.0
TDV 45RDI-PB2,2014-06-27,-3.0,0.1882339152627992,-316.6,0.0,2.0
TDV 45RDI-CC1,2014-06-27,-4.0,0.09155422730714236,-143.00000000000003,0.0,1.0
TDV 45RDI-CC2,2014-06-27,-1.0,0.7478404659998432,-62.0,0.0,1.0
TDV Control1,2014-06-28,1.0,1.1248845886065055,-56.200000000000045,1.0,0.0
TDV Control2,2014-06-28,3.0,1.873991949453739,96.10000000000014,1.0,0.0
TDV 45RDI-PB1,2014-06-28,1.0,1.09411886487851,-45.30000000000001,1.0,0.0
TDV 45RDI-PB2,2014-06-28,1.0,1.0941169576313996,-84.0,1.0,1.0
TDV 45RDI-CC1,2014-06-28,-5.0,0.04577711365357118,-194.50000000000003,0.0,1.0
TDV 45RDI-CC2,2014-06-28,-2.0,0.3739202329999216,-4.0,0.0,1.0
TDV Control1,2014-06-29,2.0,1.5624422943032528,19.40000000000009,1.0,0.0
TDV Control2,2014-06-29,4.0,1.9369959747268695,140.10000000000014,1.0,0.0
TDV 45RDI-PB1,2014-06-29,2.0,1.547059432439255,43.30000000000001,1.0,0.0
TDV 45RDI-PB2,2014-06-29,2.0,1.5470584788156998,84.0,1.0,0.0
TDV 45RDI-CC1,2014-06-29,-6.0,0.02288855682678559,-221.20000000000002,0.0,1.0
TDV 45RDI-CC2,2014-06-29,1.0,1.1869601164999608,18.0,1.0,0.0
TDV Control1,2014-06-30,-1.0,0.7812211471516264,3.900000000000091,0.0,1.0
TDV Control2,2014-06-30,5.0,1.9684979873634347,150.20000000000005,1.0,0.0
TDV 45RDI-PB1,2014-06-30,3.0,1.7735297162196275,45.30000000000001,1.0,0.0
TDV 45RDI-PB2,2014-06-30,3.0,1.77352923940785,99.19999999999999,1.0,0.0
TDV 45RDI-CC1,2014-06-30,-7.0,0.011444278413392794,-286.1,0.0,1.0
TDV 45RDI-CC2,2014-06-30,-1.0,0.5934800582499804,-22.0,0.0,1.0
TDV Control1,2014-07-01,1.0,1.3906105735758132,91.0,1.0,0.0
TDV Control2,2014-07-01,6.0,1.9842489936817174,204.20000000000005,1.0,0.0
TDV 45RDI-PB1,2014-07-01,4.0,1.8867648581098138,76.80000000000001,1.0,0.0
TDV 45RDI-PB2,2014-07-01,4.0,1.886764619703925,154.5,1.0,0.0
TDV 45RDI-CC1,2014-07-01,1.0,1.0057221392066964,-244.10000000000002,1.0,0.0
TDV 45RDI-CC2,2014-07-01,1.0,1.2967400291249902,68.0,1.0,0.0
TDV Control1,2014-07-02,2.0,1.6953052867879066,62.0,1.0,0.0
TDV Control2,2014-07-02,7.0,1.9921244968408587,266.29999999999995,1.0,0.0
TDV 45RDI-PB1,2014-07-02,5.0,1.9433824290549069,84.60000000000001,1.0,0.0
TDV 45RDI-PB2,2014-07-02,5.0,1.9433823098519625,181.2,1.0,0.0
TDV 45RDI-CC1,2014-07-02,2.0,1.5028610696033482,72.5,1.0,0.0
TDV 45RDI-CC2,2014-07-02,2.0,1.648370014562495,58.0,1.0,0.0
TDV Control1,2014-07-03,3.0,1.8476526433939533,79.39999999999986,1.0,0.0
TDV Control2,2014-07-03,8.0,1.9960622484204293,300.29999999999995,1.0,0.0
TDV 45RDI-PB1,2014-07-03,-1.0,0.9716912145274534,35.400000000000006,0.0,1.0
TDV 45RDI-PB2,2014-07-03,-1.0,0.9716911549259812,127.79999999999998,0.0,1.0
TDV 45RDI-CC1,2014-07-03,3.0,1.751430534801674,194.5,1.0,0.0
TDV 45RDI-CC2,2014-07-03,3.0,1.8241850072812476,60.0,1.0,0.0
TDV Control1,2014-07-04,-1.0,0.9238263216969766,60.0,0.0,1.0
TDV Control2,2014-07-04,9.0,1.9980311242102147,322.39999999999986,1.0,0.0
TDV 45RDI-PB1,2014-07-04,-2.0,0.4858456072637267,-41.29999999999998,0.0,1.0
TDV 45RDI-PB2,2014-07-04,-2.0,0.4858455774629906,-64.79999999999998,0.0,1.0
TDV 45RDI-CC1,2014-07-04,-1.0,0.875715267400837,175.5,0.0,1.0
TDV 45RDI-CC2,2014-07-04,-1.0,0.9120925036406238,46.0,0.0,1.0
TDV Control1,2014-07-05,1.0,1.4619131608484883,33.0,1.0,0.0
TDV Control2,2014-07-05,10.0,1.9990155621051073,378.39999999999986,1.0,0.0
TDV 45RDI-PB1,2014-07-05,-3.0,0.24292280363186336,-346.4,0.0,2.0
TDV 45RDI-PB2,2014-07-05,-3.0,0.2429227887314953,-465.3,0.0,2.0
TDV 45RDI-CC1,2014-07-05,-2.0,0.4378576337004185,-387.2,0.0,1.0
TDV 45RDI-CC2,2014-07-05,-2.0,0.4560462518203119,-76.0,0.0,1.0
TDV Control1,2014-07-06,2.0,1.7309565804242442,141.29999999999995,1.0,0.0
TDV Control2,2014-07-06,11.0,1.9995077810525537,486.60000000000014,1.0,0.0
TDV 45RDI-PB1,2014-07-06,-4.0,0.12146140181593168,-438.9,0.0,2.0
TDV 45RDI-PB2,2014-07-06,-4.0,0.12146139436574765,-577.9,0.0,2.0
TDV 45RDI-CC1,2014-07-06,-3.0,0.21892881685020926,-654.2,0.0,1.0
TDV 45RDI-CC2,2014-07-06,-3.0,0.22802312591015594,-160.0,0.0,1.0
TDV Control1,2014-07-07,-1.0,0.8654782902121221,98.69999999999982,0.0,1.0
TDV Control2,2014-07-07,-1.0,0.9997538905262768,444.5000000000002,0.0,1.0
TDV 45RDI-PB1,2014-07-07,-5.0,0.06073070090796584,-566.8000000000001,0.0,2.0
TDV 45RDI-PB2,2014-07-07,-5.0,0.06073069718287383,-759.0,0.0,2.0
TDV 45RDI-CC1,2014-07-07,-4.0,0.10946440842510463,-917.4,0.0,2.0
TDV 45RDI-CC2,2014-07-07,-4.0,0.11401156295507797,-566.0,0.0,1.0
TDV Control1,2014-07-08,-2.0,0.43273914510606104,-65.79999999999995,0.0,1.0
