Sensor,Fecha,slope1,slope2,max1,pmax1,rat1,max2,pmax2,rat2,Y
LTP Control_1_1,2014-05-29,7.5317860571856645,-10.841583141974617,17.283333333333335,6.699999999999999,2.522570430733411,11.6,1.4666666666666668,1.075719186671825,1.0
LTP Control_1_1,2014-05-30,8.94000723176316,-10.883085070679378,16.866666666666667,7.116666666666667,2.2935160349854224,0.0,5.583333333333333,1.2872653110191348,1.0
LTP Control_1_1,2014-05-31,7.921425866772052,-11.064872285371903,16.45,7.533333333333335,2.6228754753708343,0.0,4.033333333333333,1.2811324046153465,1.0
LTP Control_1_1,2014-06-01,9.914856269263991,-10.769930461003385,18.2,5.783333333333335,2.6401378662071124,15.516666666666667,0.9999999999999982,1.1252874288938086,1.0
LTP Control_1_1,2014-06-02,11.160496531100037,-10.305320499171696,17.033333333333335,6.949999999999999,2.001112376425542,0.0,4.733333333333333,1.3331983303175403,1.0
LTP Control_1_1,2014-06-03,23.85034341788246,-11.470743210147647,16.7,7.283333333333335,2.47125168617916,0.0,6.916666666666667,1.3494397291095817,1.0
LTP Control_1_1,2014-06-04,8.320882001432489,-11.105324743276974,16.766666666666666,7.216666666666669,2.6455822081476805,0.0,6.916666666666667,1.2235929853181076,1.0
LTP Control_1_1,2014-06-05,11.625038485494423,-10.878115593387019,16.483333333333334,7.5,2.7493532404799867,1.3666666666666667,3.9499999999999997,1.1614340984703027,1.0
LTP Control_1_1,2014-06-06,16.755653058692538,-8.532671790783269,16.35,7.633333333333333,2.4663609792722494,11.566666666666666,2.866666666666667,1.1161337962197608,1.0
LTP Control_1_1,2014-06-07,9.246245728049914,-10.604680381635278,16.333333333333332,7.650000000000002,2.665832384904368,4.916666666666667,2.1499999999999995,1.1344730784024433,1.0
LTP Control_1_1,2014-06-08,7.874645445213786,-11.205375001790246,16.8,7.183333333333334,2.782529936001578,11.85,1.2833333333333332,1.0576637210685123,1.0
LTP Control_1_1,2014-06-09,8.798101549444532,-11.215798228360544,16.616666666666667,7.366666666666667,2.7014442882760625,1.7833333333333332,4.766666666666667,1.2928465732876573,1.0
LTP Control_1_1,2014-06-10,10.974689842864313,-9.77829898265597,19.333333333333332,3.9333333333333336,1.8998677248677251,16.083333333333332,2.5500000000000007,1.3151435597578751,1.0
LTP Control_1_1,2014-06-11,9.277660455093706,-11.5574538113402,17.033333333333335,6.949999999999999,2.322046304220531,2.5166666666666666,3.416666666666667,1.28495112525574,1.0
LTP Control_1_1,2014-06-12,9.673714409473535,-11.317034096062853,16.6,7.383333333333333,2.215207911762191,0.0,2.1333333333333333,1.2205413830250522,1.0
LTP Control_1_1,2014-06-13,8.988255991338137,-9.880889710551052,16.4,7.583333333333336,2.024187779575824,1.05,3.5,1.2713122681474958,1.0
LTP Control_1_1,2014-06-14,11.408181565288547,-6.8696712584798485,19.866666666666667,4.116666666666667,1.618808225103658,0.0,6.633333333333333,1.4458574677925835,2.0
LTP Control_1_1,2014-06-15,8.713177692266056,-7.938262387392751,19.433333333333334,4.550000000000001,1.6666802971444152,0.0,5.516666666666667,1.3242704875065525,2.0
LTP Control_1_1,2014-06-16,-8.775777223826665,-10.004966464884676,16.783333333333335,7.199999999999999,1.9669663774682695,0.0,4.05,1.1505409417753938,1.0
LTP Control_1_1,2014-06-17,9.67357225653671,-10.298347107181543,16.383333333333333,7.600000000000001,2.151223382962971,0.0,6.683333333333334,1.2192541707556428,1.0
LTP Control_1_1,2014-06-18,7.780641625884793,-10.61145948765198,16.433333333333334,7.550000000000001,2.2576017595062425,4.633333333333333,2.0166666666666675,1.1562069619053634,1.0
LTP Control_1_1,2014-06-19,6.8971710450090375,-11.290335470504173,16.7,7.283333333333335,2.279019948631081,0.0,2.85,1.06410775774762,1.0
LTP Control_1_1,2014-06-20,7.30893634450754,-11.081138391727563,16.616666666666667,7.366666666666667,2.2727945249274164,0.0,2.4,1.1054266212991533,1.0
LTP Control_1_1,2014-06-21,8.767960577841134,-11.404437040202025,17.683333333333334,6.300000000000001,2.2760383289662784,12.183333333333334,0.8499999999999996,1.0549278989825082,1.0
LTP Control_1_1,2014-06-22,8.27969901982677,-11.359516234060726,17.133333333333333,6.850000000000001,2.394097055720725,0.0,2.9,1.1696998219621457,1.0
LTP Control_1_1,2014-06-23,13.825372439070293,-9.420108246167647,18.383333333333333,5.600000000000001,2.0654134004627096,16.216666666666665,0.6500000000000021,1.0578719304894604,1.0
LTP Control_1_1,2014-06-24,-5.511401598493707,-4.050958318016676,13.966666666666667,3.5999999999999996,1.8748055033027118,19.3,4.433333333333334,1.8632541201217618,1.0
LTP Control_1_1,2014-06-25,7.5197354104070735,-11.171175793800444,16.833333333333332,7.150000000000002,2.308339094164343,11.766666666666667,0.6999999999999993,1.0431475414554987,1.0
LTP Control_1_1,2014-06-26,9.027781639889934,-11.429141528259809,17.016666666666666,6.966666666666669,2.275511400269621,0.0,6.95,1.1666054679885582,1.0
LTP Control_1_1,2014-06-27,10.936121585727292,-10.033470167138493,17.35,6.633333333333333,2.0080097251735602,0.0,6.6,1.261593616283104,1.0
LTP Control_1_1,2014-06-28,9.147652586282806,-9.253951896957501,17.033333333333335,6.949999999999999,1.8962850384242975,2.466666666666667,4.4,1.2905051988432916,1.0
LTP Control_1_1,2014-06-29,7.050426996151103,-10.346953002143518,16.966666666666665,7.016666666666669,1.9652912926350112,0.0,7.033333333333333,1.3060677560078675,1.0
LTP Control_1_1,2014-06-30,9.471947765351068,-9.76374543006773,16.383333333333333,7.466666666666669,1.8993643521398123,0.0,5.85,1.3885470995210218,1.0
